case_id,ticker,company_name,source_type,asset_type,source_url,source_domain,rights_status,blocked_reason,next_action,provenance_hash
mco_2025_q4,MCO,Moody's Corporation,vendor,transcript,licensed-vendor://blocked/MCO/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:cbf2d57fc90582b93d19eb5bab518b07ebc06f2592fe501f4f4fc643ac368928
aon_2025_q4,AON,Aon plc,youtube,video,https://www.youtube.com/results?search_query=AON+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:636ae8e6b4f59c3dbc4061aec838ed493f7ce18f2a6dfc4df00ab4a184bd4313
aon_2025_q4,AON,Aon plc,vendor,transcript,licensed-vendor://blocked/AON/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:d933b794159cd5cf01dcfd04887af097fea020bf646dd56d6b6c6e0118958083
aig_2025_q4,AIG,"American International Group, Inc.",youtube,video,https://www.youtube.com/results?search_query=AIG+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:8b7b80a8a243ceea405e8218667b294e53f2b6eeacc9e6d77baaa52da38cf5e8
aig_2025_q4,AIG,"American International Group, Inc.",vendor,transcript,licensed-vendor://blocked/AIG/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:be96d1575dbadc1ddd7d24798c36f09925fd52c5e713f93278cd114ba43dcc7b
met_2025_q4,MET,"MetLife, Inc.",youtube,video,https://www.youtube.com/results?search_query=MET+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:80089e969b98b0c02ea64897f118c508b1a8518424813a0fc0432527e4d55bac
met_2025_q4,MET,"MetLife, Inc.",vendor,transcript,licensed-vendor://blocked/MET/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:dcf416886dd60e2fc91c4921e43f354bbe3622e02ceda0add0dacf012ecb5ad5
pru_2025_q4,PRU,"Prudential Financial, Inc.",youtube,video,https://www.youtube.com/results?search_query=PRU+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:c1ce8fec6b6fd57dba0e26248ed16dddd106a74416a0d440082516e1d79da3b5
pru_2025_q4,PRU,"Prudential Financial, Inc.",vendor,transcript,licensed-vendor://blocked/PRU/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:a4779b770a2d52e6e968d502b2d27e19fb925d433c6705feac55c3bd756b5663
trv_2025_q4,TRV,"The Travelers Companies, Inc.",youtube,video,https://www.youtube.com/results?search_query=TRV+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:779d5d0741dccaf5fc24c84fc50ac7b7af0651a690693bc379a3f3a8eaebfc81
