segment_id,case_id,audio_asset_id,start_time_sec,end_time_sec,speaker,text_sha256,raw_text_committed
vz_2024_q4_00053,vz_2024_q4,vz_2024_q4_audio,309.44,315.03999999999996,,sha256:2a3302b97983b592c1d6d5d2bb539c3282005331f0fc16ab1fd04ecf7f679178,false
vz_2024_q4_00054,vz_2024_q4,vz_2024_q4_audio,315.03999999999996,322.96,,sha256:9af3a959f96c4e27b9b394cfc91c977a86de034d2f88090fc8c1ca7953a9082d,false
vz_2024_q4_00055,vz_2024_q4,vz_2024_q4_audio,322.96,331.2,,sha256:8e027a98fec5ab214f04bef78f98faeea8ee8166be9c80ed2e54eb83ccafe218,false
vz_2024_q4_00056,vz_2024_q4,vz_2024_q4_audio,331.2,337.12,,sha256:c68dfc5b87a6980312553b4c9dd9444af034fe7e768774167430b3f3fa8fcf4e,false
vz_2024_q4_00057,vz_2024_q4,vz_2024_q4_audio,337.2,342.8,,sha256:7e9adedc6ef8519ff9f77ad0f3324fc055b63c7f072465787053c270bfc7335d,false
vz_2024_q4_00058,vz_2024_q4,vz_2024_q4_audio,343.68,348.8,,sha256:61a265381f66df9efb37644c315f65c7e46b92ba455e0fbb8a3eb655ab292d2c,false
vz_2024_q4_00059,vz_2024_q4,vz_2024_q4_audio,348.8,353.04,,sha256:285a94b3674b352d122672d49df1e7e940e1f8c741d823daae80337bc7047dd0,false
vz_2024_q4_00060,vz_2024_q4,vz_2024_q4_audio,353.84000000000003,361.76,,sha256:77ff053a0de6be2b1d11ed42bb86ff3b0d8e440050f6b9c775f4c6d9f8cde29a,false
vz_2024_q4_00061,vz_2024_q4,vz_2024_q4_audio,361.76,366.56,,sha256:835b860d4cd70e9b8d18fdf3d77f3b51dc13a74b8299b9be14035dbbaf3ff0fd,false
vz_2024_q4_00062,vz_2024_q4,vz_2024_q4_audio,367.12,373.2,,sha256:e1b2bb43b66cda2d45da39d6536bd655fcbb47630984cbf15b2447a8f8dd4982,false
vz_2024_q4_00063,vz_2024_q4,vz_2024_q4_audio,373.76,379.68,,sha256:16842bcaacd327fe3d9da269cc458b2ac6884d2be72a2bd1f1d9cca4215fdad7,false
vz_2024_q4_00064,vz_2024_q4,vz_2024_q4_audio,379.68,385.92,,sha256:d83a12305328d8cf4699bd3319b5fc8d6662f2d06b495eb6843161597608d1c1,false
vz_2024_q4_00065,vz_2024_q4,vz_2024_q4_audio,385.92,391.36,,sha256:d972a96744e37fb622feb1cc6cd852150bd974c6bd8acb471787edb3c77bcdab,false
vz_2024_q4_00066,vz_2024_q4,vz_2024_q4_audio,392.08000000000004,397.28000000000003,,sha256:5c6a79ba16462dfeaca5dcb11edf57b8f0825e16dfddd6e63deedd473e520d90,false
vz_2024_q4_00067,vz_2024_q4,vz_2024_q4_audio,398.08000000000004,403.36,,sha256:5b5d691059e38ffd572b81e72c2c9a5a6abea4188c395bad599ee41622ca35d0,false
vz_2024_q4_00068,vz_2024_q4,vz_2024_q4_audio,403.36,410.40000000000003,,sha256:a167fb2cc7df47f4a565ba0a2198561420f1875a3cd1d4f1242c4f0ed819a53a,false
vz_2024_q4_00069,vz_2024_q4,vz_2024_q4_audio,410.40000000000003,416.96000000000004,,sha256:6124b0a376f85c15bb9181df1f2ae862da5c4a8014d638df5b02cd60313cc318,false
vz_2024_q4_00070,vz_2024_q4,vz_2024_q4_audio,416.96000000000004,423.20000000000005,,sha256:a2ca78dc54ca2f8006195747d53c18c84c8a313784f6e377dfc09c2f72453cec,false
vz_2024_q4_00071,vz_2024_q4,vz_2024_q4_audio,423.20000000000005,428.48,,sha256:e09a7ce0245e7c887129232986ceb9fc7af10b50856e65ac8f1225da20c448d6,false
vz_2024_q4_00072,vz_2024_q4,vz_2024_q4_audio,428.48,435.52000000000004,,sha256:fcab4027c0e5486e54323e02cfe3d6beb888d0be3b5256f4b8458ee880c2ef7b,false
vz_2024_q4_00073,vz_2024_q4,vz_2024_q4_audio,435.52000000000004,441.76000000000005,,sha256:9f2ce7ac6b6355af33acc76f9031db1201174b2127d61291b5ea5c18efe0f260,false
vz_2024_q4_00074,vz_2024_q4,vz_2024_q4_audio,441.84,446.0,,sha256:86d6db60a61a2ccbfd88c717b550c75929430f13efe21daa2762302df29dc069,false
vz_2024_q4_00075,vz_2024_q4,vz_2024_q4_audio,446.0,450.56,,sha256:2bd0e7fe788dee0bb07299661380cc8bb2ad8e053d4211e5dea2cc41beb70ff1,false
vz_2024_q4_00076,vz_2024_q4,vz_2024_q4_audio,450.56,458.32,,sha256:b3bc68d720f76babcb214b04c361c9c7280ea08bd69d0ab1da947fe756287d2c,false
vz_2024_q4_00077,vz_2024_q4,vz_2024_q4_audio,458.32,468.32,,sha256:39d1d3e7171e9275709bad014b1781df80beff15d65a9ad70a8ee7b1fce9d550,false
vz_2024_q4_00078,vz_2024_q4,vz_2024_q4_audio,468.4,475.76,,sha256:b1b20793307ae0dd517da690e2a2bcb0a904a551a6cf82ce72e3b3f4bf8311e7,false
vz_2024_q4_00079,vz_2024_q4,vz_2024_q4_audio,476.88,483.76,,sha256:7c81a4d564ebeb93d7b3025c4e292d0695cd6abedbaa00fb93997ac4e2ef6969,false
vz_2024_q4_00080,vz_2024_q4,vz_2024_q4_audio,483.76,491.03999999999996,,sha256:0be4b501516f20e2c5892c7b8b538c2f3f8b756755fafc0b7793bc6f365aee17,false
vz_2024_q4_00081,vz_2024_q4,vz_2024_q4_audio,491.04,498.16,,sha256:6c4178ae9bea1cfd41c04a18a7e77cf6fb1a224c370de0aece497e7554f9cb91,false
vz_2024_q4_00082,vz_2024_q4,vz_2024_q4_audio,498.16,504.88,,sha256:5521ac33c2568020365e7275e7ca77b337848ed6d7ddde30725306434197b73d,false
vz_2024_q4_00083,vz_2024_q4,vz_2024_q4_audio,504.88,510.88,,sha256:81d3d879aa55db53982c1d0f2d8f3fddd26f1edf1c96d994226bb1ea64a514e3,false
vz_2024_q4_00084,vz_2024_q4,vz_2024_q4_audio,510.88,517.6,,sha256:76953b20611e709fe97305908dd0d0a89ef5e29944708b049914aac00dac6993,false
vz_2024_q4_00085,vz_2024_q4,vz_2024_q4_audio,517.6,523.76,,sha256:bd803ed46460d4c221fc7fe6d559731c245496dfd2760cb2d8a4f261bf4d13fc,false
vz_2024_q4_00086,vz_2024_q4,vz_2024_q4_audio,523.76,533.36,,sha256:c96c5cae81cd7828426d88dd22eb7ef4787c9bb9ef6b9a0db8e0b25cf3723142,false
vz_2024_q4_00087,vz_2024_q4,vz_2024_q4_audio,533.36,541.36,,sha256:7ae56258b392395e56306f76d1e336424d65bc04b48e69848716e16129800256,false
